hiseq_id,sample_id,library,observed_stage,stage,sex,site_shrt,region,site,year,month,latitude,longitude,pcl,fl,tl
EGM_11-26,JG_722,11,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2017,JUL,27.567,-82.57458,570,630,770
EGM_11-28,JG_694,11,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2017,JUN,27.5655,-82.56757,430,490,590
EGM_11-29,JG_693,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,JUN,27.5655,-82.56757,420,470,560
EGM_11-30,JG_692,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,JUN,27.56653,-82.56794,430,470,550
EGM_11-31,JG_691,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,JUN,27.57434,-82.56835,420,460,560
EGM_11-32,JG_5265,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,MAY,27.55885,-82.57265,430,480,570
EGM_11-33,JG_5264,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,MAY,27.55885,-82.57265,440,490,580
EGM_11-34,JG_5263,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,MAY,27.55885,-82.57265,400,450,550
EGM_11-35,JG_5262,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2017,MAY,27.55885,-82.57265,390,440,540
EGM_11-36,JG_5261,11,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2017,MAY,27.55885,-82.57265,410,460,550
EGM_11-37,JG_7090525,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2018,JUL,27.54906,-82.58159,460,520,640
EGM_11-38,JG_7090520,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2018,JUL,27.54906,-82.58159,460,520,630
EGM_11-42,JG_10010702,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2018,OCT,27.55774,-82.58853,510,570,670
